Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1776840416,2026-04-22T06:46:56Z,AFL010,"55.981304,37.431149",0,2,151
1776840958,2026-04-22T06:55:58Z,AFL010,"55.979927,37.433361",0,3,163
1776841308,2026-04-22T07:01:48Z,AFL010,"55.977711,37.439804",0,0,253
1776841447,2026-04-22T07:04:07Z,AFL010,"55.961742,37.350166",3100,159,251
1776841455,2026-04-22T07:04:15Z,AFL010,"55.959652,37.338657",3325,158,252
1776841465,2026-04-22T07:04:25Z,AFL010,"55.957588,37.326904",3525,161,252
1776841472,2026-04-22T07:04:32Z,AFL010,"55.955761,37.316883",3775,164,246
1776841475,2026-04-22T07:04:35Z,AFL010,"55.955479,37.314617",3875,90,257
1776841477,2026-04-22T07:04:37Z,AFL010,"55.955017,37.31184",3925,174,254
1776841479,2026-04-22T07:04:39Z,AFL010,"55.95454,37.308659",4000,168,254
1776841481,2026-04-22T07:04:41Z,AFL010,"55.954128,37.305805",4075,100,259
1776841484,2026-04-22T07:04:44Z,AFL010,"55.953415,37.302013",4175,100,254
1776841488,2026-04-22T07:04:48Z,AFL010,"55.952797,37.297745",4250,130,255
1776841490,2026-04-22T07:04:50Z,AFL010,"55.952423,37.294659",4300,170,256
1776841495,2026-04-22T07:04:55Z,AFL010,"55.951206,37.286297",4375,150,257
1776841497,2026-04-22T07:04:57Z,AFL010,"55.95092,37.283855",4400,182,258
1776841499,2026-04-22T07:04:59Z,AFL010,"55.950344,37.280231",4425,178,255
1776841502,2026-04-22T07:05:02Z,AFL010,"55.94986,37.277229",4450,120,253
1776841504,2026-04-22T07:05:04Z,AFL010,"55.949493,37.274422",4475,60,249
1776841506,2026-04-22T07:05:06Z,AFL010,"55.948917,37.269905",4500,190,255
1776841508,2026-04-22T07:05:08Z,AFL010,"55.948364,37.265995",4525,210,257
1776841510,2026-04-22T07:05:10Z,AFL010,"55.948105,37.26405",4550,110,265
1776841512,2026-04-22T07:05:12Z,AFL010,"55.947624,37.260685",4575,208,256
1776841514,2026-04-22T07:05:14Z,AFL010,"55.946949,37.256336",4600,210,255
1776841517,2026-04-22T07:05:17Z,AFL010,"55.946445,37.253429",4625,221,251
1776841519,2026-04-22T07:05:19Z,AFL010,"55.945957,37.249771",4675,215,254
1776841521,2026-04-22T07:05:21Z,AFL010,"55.945282,37.245239",4700,222,254
1776841523,2026-04-22T07:05:23Z,AFL010,"55.944714,37.24157",4725,100,252
1776841525,2026-04-22T07:05:25Z,AFL010,"55.944241,37.2384",4775,226,253
1776841527,2026-04-22T07:05:27Z,AFL010,"55.943607,37.234108",4800,229,254
1776841530,2026-04-22T07:05:30Z,AFL010,"55.942986,37.229736",4875,229,255
1776841532,2026-04-22T07:05:32Z,AFL010,"55.942074,37.224274",4900,228,261
1776841534,2026-04-22T07:05:34Z,AFL010,"55.941898,37.221523",4975,232,259
1776841536,2026-04-22T07:05:36Z,AFL010,"55.941204,37.217659",5050,239,255
1776841538,2026-04-22T07:05:38Z,AFL010,"55.940563,37.212578",5100,240,256
1776841541,2026-04-22T07:05:41Z,AFL010,"55.939945,37.207783",5200,210,256
1776841543,2026-04-22T07:05:43Z,AFL010,"55.939217,37.204021",5250,258,251
1776841547,2026-04-22T07:05:47Z,AFL010,"55.938004,37.196278",5425,200,254
1776841551,2026-04-22T07:05:51Z,AFL010,"55.937046,37.187771",5600,240,256
1776841553,2026-04-22T07:05:53Z,AFL010,"55.936275,37.183773",5675,259,252
1776841555,2026-04-22T07:05:55Z,AFL010,"55.935871,37.179394",5775,250,257
1776841557,2026-04-22T07:05:57Z,AFL010,"55.934967,37.174774",5900,248,257
1776841559,2026-04-22T07:05:59Z,AFL010,"55.934299,37.16938",5975,270,255
1776841562,2026-04-22T07:06:02Z,AFL010,"55.933708,37.166256",6075,263,255
1776841564,2026-04-22T07:06:04Z,AFL010,"55.932709,37.16013",6150,260,251
1776841566,2026-04-22T07:06:06Z,AFL010,"55.932076,37.157135",6225,80,223
1776841568,2026-04-22T07:06:08Z,AFL010,"55.93187,37.152618",6325,70,258
1776841570,2026-04-22T07:06:10Z,AFL010,"55.931126,37.1479",6400,270,255
1776841572,2026-04-22T07:06:12Z,AFL010,"55.930405,37.14304",6500,284,270
1776841574,2026-04-22T07:06:14Z,AFL010,"55.929356,37.138721",6650,80,257
1776841577,2026-04-22T07:06:17Z,AFL010,"55.929016,37.133831",6750,180,254
1776841579,2026-04-22T07:06:19Z,AFL010,"55.927891,37.129154",6900,280,248
1776841581,2026-04-22T07:06:21Z,AFL010,"55.927338,37.123196",7025,230,255
1776841585,2026-04-22T07:06:25Z,AFL010,"55.926365,37.116238",7250,269,256
1776841587,2026-04-22T07:06:27Z,AFL010,"55.925419,37.110592",7350,269,254
1776841589,2026-04-22T07:06:29Z,AFL010,"55.924866,37.106468",7475,272,255
1776841592,2026-04-22T07:06:32Z,AFL010,"55.924294,37.102066",7575,278,256
1776841594,2026-04-22T07:06:34Z,AFL010,"55.923534,37.096756",7675,279,255
1776841596,2026-04-22T07:06:36Z,AFL010,"55.922642,37.091064",7775,276,254
1776841598,2026-04-22T07:06:38Z,AFL010,"55.921989,37.088074",7925,253,237
1776841600,2026-04-22T07:06:40Z,AFL010,"55.92144,37.082561",8025,180,267
1776841603,2026-04-22T07:06:43Z,AFL010,"55.920708,37.078117",8175,282,257
1776841605,2026-04-22T07:06:45Z,AFL010,"55.919956,37.073395",8300,268,255
1776841607,2026-04-22T07:06:47Z,AFL010,"55.919273,37.068748",8450,275,255
1776841609,2026-04-22T07:06:49Z,AFL010,"55.918663,37.064159",8600,276,256
1776841611,2026-04-22T07:06:51Z,AFL010,"55.917877,37.058929",8750,272,255
1776841614,2026-04-22T07:06:54Z,AFL010,"55.917088,37.053593",8875,272,255
1776841616,2026-04-22T07:06:56Z,AFL010,"55.916454,37.048386",9000,267,256
1776841619,2026-04-22T07:06:59Z,AFL010,"55.915848,37.042492",9100,264,258
1776841621,2026-04-22T07:07:01Z,AFL010,"55.915726,37.039001",9175,264,261
1776841623,2026-04-22T07:07:03Z,AFL010,"55.91563,37.033867",9250,274,265
1776841625,2026-04-22T07:07:05Z,AFL010,"55.915684,37.028557",9350,268,269
1776841628,2026-04-22T07:07:08Z,AFL010,"55.916058,37.022762",9425,275,273
1776841630,2026-04-22T07:07:10Z,AFL010,"55.916626,37.018173",9500,278,278
1776841632,2026-04-22T07:07:12Z,AFL010,"55.917355,37.0131",9625,280,281
1776841634,2026-04-22T07:07:14Z,AFL010,"55.918186,37.008129",9700,280,284
1776841637,2026-04-22T07:07:17Z,AFL010,"55.919022,37.003403",9800,280,286
1776841639,2026-04-22T07:07:19Z,AFL010,"55.919987,36.998398",9950,280,288
1776841641,2026-04-22T07:07:21Z,AFL010,"55.921104,36.993259",10075,280,290
1776841644,2026-04-22T07:07:24Z,AFL010,"55.922249,36.987503",10225,280,289
1776841646,2026-04-22T07:07:26Z,AFL010,"55.923244,36.982498",10350,280,289
1776841649,2026-04-22T07:07:29Z,AFL010,"55.924343,36.977013",10475,280,289
1776841651,2026-04-22T07:07:31Z,AFL010,"55.925484,36.971481",10600,282,289
1776841653,2026-04-22T07:07:33Z,AFL010,"55.926575,36.966034",10675,282,289
1776841656,2026-04-22T07:07:36Z,AFL010,"55.927536,36.961342",10750,286,290
1776841658,2026-04-22T07:07:38Z,AFL010,"55.928497,36.956589",10800,286,290
1776841660,2026-04-22T07:07:40Z,AFL010,"55.92963,36.95121",10850,292,290
1776841662,2026-04-22T07:07:42Z,AFL010,"55.930683,36.945934",10900,292,289
1776841676,2026-04-22T07:07:56Z,AFL010,"55.937035,36.914677",11150,312,290
