Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1776494773,2026-04-18T06:46:13Z,AFL010,"55.974838,37.389908",0,0,295
1776495167,2026-04-18T06:52:47Z,AFL010,"55.974422,37.39053",0,2,75
1776495393,2026-04-18T06:56:33Z,AFL010,"55.973854,37.402058",0,0,75
1776495577,2026-04-18T06:59:37Z,AFL010,"55.977493,37.427845",0,7,115
1776495641,2026-04-18T07:00:41Z,AFL010,"55.975948,37.427963",0,0,253
1776495725,2026-04-18T07:02:05Z,AFL010,"55.969803,37.386559",1100,165,255
1776495758,2026-04-18T07:02:38Z,AFL010,"55.957027,37.349712",2525,150,237
1776495765,2026-04-18T07:02:45Z,AFL010,"55.955379,37.341991",2775,170,249
1776495773,2026-04-18T07:02:53Z,AFL010,"55.953358,37.331478",3000,169,250
1776495775,2026-04-18T07:02:55Z,AFL010,"55.952866,37.32885",3075,169,251
1776495778,2026-04-18T07:02:58Z,AFL010,"55.951992,37.324913",3175,172,249
1776495780,2026-04-18T07:03:00Z,AFL010,"55.951618,37.322109",3250,168,252
1776495782,2026-04-18T07:03:02Z,AFL010,"55.95121,37.319431",3325,166,253
1776495785,2026-04-18T07:03:05Z,AFL010,"55.95055,37.315643",3400,167,252
1776495787,2026-04-18T07:03:07Z,AFL010,"55.950104,37.312832",3450,171,253
1776495789,2026-04-18T07:03:09Z,AFL010,"55.949734,37.310375",3525,169,254
1776495791,2026-04-18T07:03:11Z,AFL010,"55.949169,37.30677",3575,169,254
1776495793,2026-04-18T07:03:13Z,AFL010,"55.948833,37.30476",3650,166,254
1776495796,2026-04-18T07:03:16Z,AFL010,"55.94841,37.301907",3700,167,254
1776495798,2026-04-18T07:03:18Z,AFL010,"55.947815,37.297955",3775,165,254
1776495800,2026-04-18T07:03:20Z,AFL010,"55.947456,37.295467",3825,163,255
1776495803,2026-04-18T07:03:23Z,AFL010,"55.946999,37.292522",3900,168,254
1776495805,2026-04-18T07:03:25Z,AFL010,"55.946606,37.28936",3925,168,256
1776495807,2026-04-18T07:03:27Z,AFL010,"55.946217,37.286457",3975,170,256
1776495812,2026-04-18T07:03:32Z,AFL010,"55.948971,37.273632",4050,300,296
1776495815,2026-04-18T07:03:35Z,AFL010,"55.948265,37.270176",4075,203,250
1776495817,2026-04-18T07:03:37Z,AFL010,"55.948036,37.267864",4100,188,255
1776495819,2026-04-18T07:03:39Z,AFL010,"55.947704,37.264858",4150,178,257
1776495821,2026-04-18T07:03:41Z,AFL010,"55.94725,37.261906",4175,176,256
1776495823,2026-04-18T07:03:43Z,AFL010,"55.946751,37.258488",4225,180,255
1776495825,2026-04-18T07:03:45Z,AFL010,"55.946293,37.25523",4250,182,255
1776495828,2026-04-18T07:03:48Z,AFL010,"55.945847,37.252182",4300,184,255
1776495830,2026-04-18T07:03:50Z,AFL010,"55.94529,37.248402",4325,187,255
1776495832,2026-04-18T07:03:52Z,AFL010,"55.94487,37.2453",4375,187,256
1776495834,2026-04-18T07:03:54Z,AFL010,"55.944302,37.241646",4400,189,255
1776495836,2026-04-18T07:03:56Z,AFL010,"55.943882,37.238609",4425,191,255
1776495839,2026-04-18T07:03:59Z,AFL010,"55.943478,37.235386",4475,192,256
1776495841,2026-04-18T07:04:01Z,AFL010,"55.94265,37.231403",4525,197,252
1776495843,2026-04-18T07:04:03Z,AFL010,"55.942173,37.228569",4550,199,253
1776495845,2026-04-18T07:04:05Z,AFL010,"55.941723,37.224686",4600,202,255
1776495847,2026-04-18T07:04:07Z,AFL010,"55.941261,37.221439",4625,204,255
1776495849,2026-04-18T07:04:09Z,AFL010,"55.940681,37.216885",4675,210,256
1776495851,2026-04-18T07:04:11Z,AFL010,"55.940121,37.212601",4700,206,256
1776495854,2026-04-18T07:04:14Z,AFL010,"55.939781,37.210526",4775,211,255
1776495856,2026-04-18T07:04:16Z,AFL010,"55.939255,37.20628",4825,214,256
1776495858,2026-04-18T07:04:18Z,AFL010,"55.938721,37.202126",4850,215,257
1776495860,2026-04-18T07:04:20Z,AFL010,"55.938068,37.198235",4900,212,255
1776495862,2026-04-18T07:04:22Z,AFL010,"55.937744,37.195541",4925,218,256
1776495864,2026-04-18T07:04:24Z,AFL010,"55.936813,37.191509",4975,170,247
1776495866,2026-04-18T07:04:26Z,AFL010,"55.936417,37.188198",5025,226,257
1776495870,2026-04-18T07:04:30Z,AFL010,"55.935379,37.181759",5100,130,230
1776495872,2026-04-18T07:04:32Z,AFL010,"55.935104,37.177433",5150,239,266
1776495874,2026-04-18T07:04:34Z,AFL010,"55.934574,37.173504",5225,238,260
1776495877,2026-04-18T07:04:37Z,AFL010,"55.933548,37.168941",5275,233,251
1776495881,2026-04-18T07:04:41Z,AFL010,"55.932358,37.160625",5375,160,255
1776495883,2026-04-18T07:04:43Z,AFL010,"55.93145,37.155285",5425,276,252
1776495886,2026-04-18T07:04:46Z,AFL010,"55.930946,37.150997",5475,160,251
1776495888,2026-04-18T07:04:48Z,AFL010,"55.930389,37.146557",5525,140,255
1776495890,2026-04-18T07:04:50Z,AFL010,"55.930119,37.142712",5575,276,260
1776495892,2026-04-18T07:04:52Z,AFL010,"55.929043,37.138603",5650,150,241
1776495894,2026-04-18T07:04:54Z,AFL010,"55.92857,37.134346",5750,261,258
1776495896,2026-04-18T07:04:56Z,AFL010,"55.928143,37.12925",5800,261,260
1776495899,2026-04-18T07:04:59Z,AFL010,"55.927486,37.125156",5900,259,258
1776495901,2026-04-18T07:05:01Z,AFL010,"55.926319,37.1199",5975,230,247
