lat,lon,Altitude,Speed,UTC
55.981304,37.431149,0,2,2026-04-22T06:46:56Z
55.979927,37.433361,0,3,2026-04-22T06:55:58Z
55.977711,37.439804,0,0,2026-04-22T07:01:48Z
55.961742,37.350166,3100,159,2026-04-22T07:04:07Z
55.959652,37.338657,3325,158,2026-04-22T07:04:15Z
55.957588,37.326904,3525,161,2026-04-22T07:04:25Z
55.955761,37.316883,3775,164,2026-04-22T07:04:32Z
55.955479,37.314617,3875,90,2026-04-22T07:04:35Z
55.955017,37.31184,3925,174,2026-04-22T07:04:37Z
55.95454,37.308659,4000,168,2026-04-22T07:04:39Z
55.954128,37.305805,4075,100,2026-04-22T07:04:41Z
55.953415,37.302013,4175,100,2026-04-22T07:04:44Z
55.952797,37.297745,4250,130,2026-04-22T07:04:48Z
55.952423,37.294659,4300,170,2026-04-22T07:04:50Z
55.951206,37.286297,4375,150,2026-04-22T07:04:55Z
55.95092,37.283855,4400,182,2026-04-22T07:04:57Z
55.950344,37.280231,4425,178,2026-04-22T07:04:59Z
55.94986,37.277229,4450,120,2026-04-22T07:05:02Z
55.949493,37.274422,4475,60,2026-04-22T07:05:04Z
55.948917,37.269905,4500,190,2026-04-22T07:05:06Z
55.948364,37.265995,4525,210,2026-04-22T07:05:08Z
55.948105,37.26405,4550,110,2026-04-22T07:05:10Z
55.947624,37.260685,4575,208,2026-04-22T07:05:12Z
55.946949,37.256336,4600,210,2026-04-22T07:05:14Z
55.946445,37.253429,4625,221,2026-04-22T07:05:17Z
55.945957,37.249771,4675,215,2026-04-22T07:05:19Z
55.945282,37.245239,4700,222,2026-04-22T07:05:21Z
55.944714,37.24157,4725,100,2026-04-22T07:05:23Z
55.944241,37.2384,4775,226,2026-04-22T07:05:25Z
55.943607,37.234108,4800,229,2026-04-22T07:05:27Z
55.942986,37.229736,4875,229,2026-04-22T07:05:30Z
55.942074,37.224274,4900,228,2026-04-22T07:05:32Z
55.941898,37.221523,4975,232,2026-04-22T07:05:34Z
55.941204,37.217659,5050,239,2026-04-22T07:05:36Z
55.940563,37.212578,5100,240,2026-04-22T07:05:38Z
55.939945,37.207783,5200,210,2026-04-22T07:05:41Z
55.939217,37.204021,5250,258,2026-04-22T07:05:43Z
55.938004,37.196278,5425,200,2026-04-22T07:05:47Z
55.937046,37.187771,5600,240,2026-04-22T07:05:51Z
55.936275,37.183773,5675,259,2026-04-22T07:05:53Z
55.935871,37.179394,5775,250,2026-04-22T07:05:55Z
55.934967,37.174774,5900,248,2026-04-22T07:05:57Z
55.934299,37.16938,5975,270,2026-04-22T07:05:59Z
55.933708,37.166256,6075,263,2026-04-22T07:06:02Z
55.932709,37.16013,6150,260,2026-04-22T07:06:04Z
55.932076,37.157135,6225,80,2026-04-22T07:06:06Z
55.93187,37.152618,6325,70,2026-04-22T07:06:08Z
55.931126,37.1479,6400,270,2026-04-22T07:06:10Z
55.930405,37.14304,6500,284,2026-04-22T07:06:12Z
55.929356,37.138721,6650,80,2026-04-22T07:06:14Z
55.929016,37.133831,6750,180,2026-04-22T07:06:17Z
